sample,selected_source,source_rows,abnormal_termination_rows,truncated_with_text_rows,empty_rows,near_empty_rows,small_output_rows,any_anomaly_rows,has_abnormal_termination,has_truncated_with_text,has_empty,has_near_empty,has_small_output,has_any_anomaly
treebank3,official_baseline_v2,20,1,0,1,4,5,5,True,False,True,True,True,True
treebank4,official_baseline_v2,20,1,0,1,0,1,1,True,False,True,False,True,True
treebank5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
treebank6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
vector2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
vector5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
vector6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
weather1,official_baseline_v2,20,1,0,1,0,1,1,True,False,True,False,True,True
weather2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
weather3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
weather4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
weather5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
weather6,official_baseline_v2,20,1,0,1,0,1,1,True,False,True,False,True,True
